Title,Salary,City,Country,Years,Pronouns,Race,Orientation,Education
Product Designer,110000,"AUSTIN, TX",USA,8,HE/HIM,WHITE,BI/PAN,COLLEGE
Advisory UX Designer,126888,"AUSTIN, TX",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,48000,BALTIMORE,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
graphic designer,52000,BALTIMORE,USA,1,SHE/HER,WHITE,BI/PAN,COLLEGE
Environmental Graphic Designer,55000,BALTIMORE,USA,8,HE/HIM,WHITE,STRAIGHT,COLLEGE
Art Director,57000,BALTIMORE,USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Associate Professor ,72000,BALTIMORE,USA,6,SHE/HER,LATINO/HISPANIC,STRAIGHT,MASTER
UX Designer,79000,BALTIMORE,USA,7,HE/HIM,ASIAN,BI/PAN,COLLEGE
Senior Graphic Designer,81500,BALTIMORE,USA,8,SHE/HER,WHITE,GAY/LES,COLLEGE
User Experience Designer,86600,BALTIMORE,USA,8,HE/HIM,WHITE,STRAIGHT,MASTER
Marketing Account Manager / Graphic Designer,32000,BALTIMORE ,USA,2,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Graphic designer ,41600,BALTIMORE ,USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,47500,BALTIMORE ,USA,5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Production Artist,62000,"BALTIMORE, MD",USA,7,SHE/HER,MIXED,STRAIGHT,HIGHSCHOOL
Art Director,186000,"BALTIMORE, MD",USA,23,HE/HIM,ASIAN,STRAIGHT,MASTER
Sr. Graphic Designer,68200,"BATAVIA, IL ",USA,20,SHE/HER,WHITE,STRAIGHT,MASTER
Associate Art Director,44000,"BATTLE GROUND, WA",USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,42000,BAY AREA,USA,4,HE/HIM,WHITE,BI/PAN,COLLEGE
Art Director,130000,BAY AREA,USA,8,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Product Design Lead,90000,BAY AREA CA,USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Visual Designer,105000,"BAY AREA, CA",USA,20,SHE/HER,WHITE,GAY/LES,COLLEGE
Digital designer ,100000,BEAVERTON,USA,7,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Designer 1,85000,"BEAVERTON, OR",USA,7,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer (Communications Design & Marketing),49000,"BELLEVUE, WA",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Design Director,93000,"BELLEVUE, WA",USA,10,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,46500,"BELOIT, WISCONSIN",USA,6,SHE/HER,WHITE,GAY/LES,COLLEGE
Senior Graphic Designer,97000,"BETHESDA, MD",USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
in-House Graphic Designer,55000,"BIG SKY, MONTANA",USA,2.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Sr. UX Designer,100000,"BILLERICA, MA",USA,4,NON-BINARY,WHITE,QUEER/FLUID,COLLEGE
Graphics Specialist II,50939,"BISMARCK, ND",USA,20,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Designer,94000,"BISMARCK, ND",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Art Director,50000,"BOISE, ID",USA,3,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Marketing Graphic Designer,42000,BOSTON,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,43500,BOSTON,USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,45000,BOSTON,USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,48000,BOSTON,USA,2,SHE/HER,ASIAN,STRAIGHT,MASTER
Designer,50000,BOSTON,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic designer ,50000,BOSTON,USA,5,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Designer,51000,BOSTON,USA,5,HE/HIM,MIXED,QUEER/FLUID,COLLEGE
Marketing and Graphic Design Coordinator,52000,BOSTON,USA,10,HE/HIM,WHITE,STRAIGHT,COLLEGE
Visual Designer,53000,BOSTON,USA,3,SHE/HER,WHITE,BI/PAN,COLLEGE
Strategist,54000,BOSTON,USA,1,SHE/HER,MIXED,STRAIGHT,COLLEGE
Graphic Designer,55000,BOSTON,USA,5,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Graphic Designer (EGD+Print),56000,BOSTON,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,57000,BOSTON,USA,7,SHE/HER,MIXED,STRAIGHT,COLLEGE
Graphic Designer,62500,BOSTON,USA,1,HE/HIM,BLACK,GAY/LES,COLLEGE
Production designer,70000,BOSTON,USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Color Designer,70010,BOSTON,USA,2,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Graphic Designer 1,70600,BOSTON,USA,5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Visual Designer,72000,BOSTON,USA,4,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Graphic Designer,78000,BOSTON,USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Product Designer,80000,BOSTON,USA,1,SHE/HER,WHITE,BI/PAN,COLLEGE
Senior Art Director,80000,BOSTON,USA,7,HE/HIM,ASIAN,GAY/LES,COLLEGE
Designer,80000,BOSTON,USA,4,HE/HIM,ASIAN,GAY/LES,COLLEGE
Type Director,86000,BOSTON,USA,17,SHE/HER,WHITE,STRAIGHT,COLLEGE
Creative Director,95000,BOSTON,USA,6,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Senior Product Designer,107000,BOSTON,USA,8,SHE/HER,WHITE,BI/PAN,COLLEGE
Project Manager,113000,BOSTON,USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Designer,115000,BOSTON,USA,15,HE/HIM,WHITE,STRAIGHT,MASTER
Senior Product Designer,120000,BOSTON,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Product Designer,132000,BOSTON,USA,6,HE/HIM,WHITE,STRAIGHT,COLLEGE
"Director, Creative Center",140000,BOSTON,USA,22,SHE/HER,WHITE,BI/PAN,COLLEGE
Design Director,150000,BOSTON,USA,23,HE/HIM,WHITE,QUEER/FLUID,COLLEGE
Creative Director of Brand Communications,150000,BOSTON,USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Sr Manger of Product Design,175000,BOSTON,USA,17,HE/HIM,WHITE,STRAIGHT,COLLEGE
Junior Graphic Designer,52000,"BOSTON, MA",USA,5,SHE/HER,WHITE,BI/PAN,COLLEGE
UX Designer,60000,"BOSTON, MA",USA,2.5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Designer,60000,"BOSTON, MA",USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,62000,"BOSTON, MA",USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Marketing Specialist: Graphic Designer and Video Editor,73000,"BOSTON, MA",USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Art Director,75000,"BOSTON, MA",USA,6,SHE/HER,ASIAN,STRAIGHT,MASTER
Product Designer,80000,"BOSTON, MA",USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Owner/Operator,85000,"BOSTON, MA",USA,9,SHE/HER,WHITE,BI/PAN,COLLEGE
Creative Director,110000,"BOSTON, MA",USA,18,SHE/HER,WHITE,STRAIGHT,COLLEGE
Lead product designer,112500,"BOSTON, MA",USA,4,SHE/HER,MIXED,STRAIGHT,COLLEGE
Visual Designer — L4,145000,"BOSTON, MA",USA,7,HE/HIM,WHITE,STRAIGHT,COLLEGE
Experience Designer,90000,"BOSTON, MASSACHUSETTS",USA,2,SHE/HER,MIXED,STRAIGHT,COLLEGE
Motion Graphics Animator & Designer,55000,BOULDER,USA,5,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic designer ,55000,BRIDGEVIEW/CHICAGO,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Visual Designer,59000,BROOKLYN,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Associate Marketing Designer,80000,BROOKLYN,USA,8,SHE/HER,ASIAN,QUEER/FLUID,COLLEGE
Senior Art Director,90000,BROOKLYN,USA,8,HE/HIM,WHITE,GAY/LES,COLLEGE
Design Director ,115000,BROOKLYN,USA,8,SHE/HER,WHITE,STRAIGHT,MASTER
Art Director,120000,BROOKLYN,USA,5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Product Designer,120000,BROOKLYN,USA,8,SHE/HER,WHITE,STRAIGHT,MASTER
Staff Product Designer,165000,BROOKLYN,USA,8,SHE/HER,BLACK,STRAIGHT,MASTER
Graphic Designer ,55000,BROOKLYN ,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Digital Designer,50000,"BROOKLYN, NY",USA,2.5,SHE/HER,BLACK,BI/PAN,COLLEGE
Graphic Designer,55000,"BROOKLYN, NY",USA,1,SHE/HER,MIXED,STRAIGHT,COLLEGE
Art Director,71000,"BROOKLYN, NY",USA,14,HE/HIM,WHITE,BI/PAN,COLLEGE
Design Director,132000,"BROOKLYN, NY",USA,12,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Product Director,175000,"BROOKLYN, NY",USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Artist,50000,"BUCKS COUNTY, PENNSYLVANIA",USA,1,SHE/HER,ASIAN,BI/PAN,COLLEGE
Graphic Designer,42000,"BUFFALO, NY",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Design Consultant,42000,"BURLINGTON, MA",USA,2,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,55000,"BURR RIDGE, IL",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,62000,CALIFORNIA,USA,8,SHE/HER,ASIAN,STRAIGHT,COLLEGE
ux designer,150000,CALIFORNIA,USA,3,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Designer and manager,78000,CAMBRIDGE,USA,15,SHE/HER,WHITE,STRAIGHT,MASTER
Graphic Designer ,47000,CAMDEN COUNTY NJ,USA,7,HE/HIM,WHITE,STRAIGHT,COLLEGE
Visual Designer,48000,CAMPBELL,USA,1.5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Design Lead,85500,CENTRAL,USA,8,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Web Designer/Developer,61500,CENTRAL FLORIDA,USA,16,SHE/HER,ASIAN,BI/PAN,COLLEGE
Digital designer,63500,CENTRAL KENTUCKY,USA,12,SHE/HER,WHITE,STRAIGHT,COLLEGE
Lead Digital Designer,85000,CHARLOTTE,USA,6,HE/HIM,WHITE,STRAIGHT,COLLEGE
Junior graphic designer ,40000,"CHARLOTTE, NC",USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Creative Services Lead,68000,CHARLOTTESVILLE,USA,25,HE/HIM,WHITE,STRAIGHT,ASSOCIATE
Senior Product Designer,80000,CHATTANOOGA,USA,22,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,50000,"CHATTANOOGA, TN",USA,3,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Senior graphic designer,60000,CHESTER COUNTY,USA,10,HE/HIM,WHITE,STRAIGHT,COLLEGE
Production Designer,40000,CHICAGO,USA,1,HE/HIM,WHITE,GAY/LES,COLLEGE
Jr. Graphic Designer,42500,CHICAGO,USA,1,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Visual Designer,44000,CHICAGO,USA,3,HE/HIM,MIXED,STRAIGHT,COLLEGE
Motion design,47000,CHICAGO,USA,7,SHE/HER,WHITE,BI/PAN,COLLEGE
Graphic Designer,47500,CHICAGO,USA,3,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer ,48000,CHICAGO,USA,5,SHE/HER,WHITE,STRAIGHT,MASTER
Designer,50000,CHICAGO,USA,3,HE/HIM,MIXED,GAY/LES,COLLEGE
Designer,50000,CHICAGO,USA,3,SHE/HER,WHITE,QUEER/FLUID,ASSOCIATE
Graphic Designer,50000,CHICAGO,USA,3,SHE/HER,BLACK,STRAIGHT,COLLEGE
Designer,50000,CHICAGO,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Associate Designer,50000,CHICAGO,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,51000,CHICAGO,USA,4,NON-BINARY,WHITE,QUEER/FLUID,COLLEGE
Graphic Designer,53800,CHICAGO,USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Designer,55000,CHICAGO,USA,2,SHE/HER,MIXED,QUEER/FLUID,COLLEGE
Jr User Experience Designer,55000,CHICAGO,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Creative Designer,55000,CHICAGO,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Visual Designer,55500,CHICAGO,USA,3.5,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Brand Designer,56000,CHICAGO,USA,6,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,57500,CHICAGO,USA,5.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Brand Designer,58500,CHICAGO,USA,3,SHE/HER,MIXED,STRAIGHT,COLLEGE
UI Designer,59000,CHICAGO,USA,7,SHE/HER,WHITE,BI/PAN,COLLEGE
Product Designer,60000,CHICAGO,USA,1,SHE/HER,BLACK,STRAIGHT,COLLEGE
Senior Graphic Designer,60000,CHICAGO,USA,4,SHE/HER,WHITE,STRAIGHT,MASTER
Graphic Designer,62000,CHICAGO,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
UX/Visual Designer ,65000,CHICAGO,USA,3,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Production designer,70000,CHICAGO,USA,38,SHE/HER,ASIAN,STRAIGHT,MASTER
Art Director,73000,CHICAGO,USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Associate Design Director,75000,CHICAGO,USA,5.5,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Art Director/Designer,80000,CHICAGO,USA,9,HE/HIM,MIXED,STRAIGHT,COLLEGE
Service and interaction designer,80000,CHICAGO,USA,3,SHE/HER,WHITE,STRAIGHT,MASTER
Creative Director,80000,CHICAGO,USA,22,HE/HIM,WHITE,STRAIGHT,COLLEGE
Content Strategist,82000,CHICAGO,USA,5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Art Director,83000,CHICAGO,USA,15,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,85000,CHICAGO,USA,5,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,93000,CHICAGO,USA,5,SHE/HER,BLACK,QUEER/FLUID,COLLEGE
Art Director,95000,CHICAGO,USA,13,HE/HIM,WHITE,GAY/LES,COLLEGE
Product Designer,98000,CHICAGO,USA,5,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Senior Product Designer ,111000,CHICAGO,USA,5,HE/HIM,WHITE,STRAIGHT,COLLEGE
Associate Creative Director,133250,CHICAGO,USA,12,SHE/HER,WHITE,STRAIGHT,COLLEGE
Product design manager,135000,CHICAGO,USA,6,HE/HIM,WHITE,STRAIGHT,COLLEGE
 Designer 1,46000,CHICAGO ,USA,1,SHE/HER,WHITE,STRAIGHT,MASTER
Retail Experience Graphic Designer,52000,CHICAGO SUBURB,USA,2,SHE/HER,MIXED,STRAIGHT,COLLEGE
Marketing Specialists ,53000,CHICAGO SUBURBS,USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Designer,46000,"CHICAGO, IL",USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,46800,"CHICAGO, IL",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Art Director,48000,"CHICAGO, IL",USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,48000,"CHICAGO, IL",USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,52000,"CHICAGO, IL",USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
UI Designer,59000,"CHICAGO, IL",USA,8,SHE/HER,WHITE,BI/PAN,COLLEGE
Art Director & Beverage Director,62500,"CHICAGO, IL",USA,12,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,95000,"CHICAGO, IL",USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Design lead,117000,"CHICAGO, IL",USA,11,SHE/HER,MIXED,STRAIGHT,COLLEGE
Manager,146000,"CHICAGO, IL",USA,11,HE/HIM,WHITE,GAY/LES,COLLEGE
Senior Designer,69500,"CHICAGO, ILLINOIS",USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,80000,CHICAGO/REMOTE,USA,12,HE/HIM,WHITE,GAY/LES,COLLEGE
Graphic Designer,50500,CINCINNATI,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
graphic designer,60000,CINCINNATI,USA,14,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Graphic Designer,40000,"CINCINNATI, OH",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Amazon Creative Strategist,48000,CLEVELAND,USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Design & Marketing Specialist,35700,"CLEVELAND, OH",USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,38000,"CLEVELAND, OH",USA,2,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Junior Graphic Designer,40000,"CLEVELAND, OH",USA,1,SHE/HER,WHITE,BI/PAN,COLLEGE
"Manager, design and marketing technology",60000,"CLEVELAND, OH",USA,9,HE/HIM,WHITE,STRAIGHT,ASSOCIATE
Junior Designer,44000,"CLEVELAND, OHIO",USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic designer,61000,"CLEVELAND, OHIO",USA,11,SHE/HER,WHITE,STRAIGHT,COLLEGE
Director of Graphic Design,48500,COLORADO,USA,2,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Jr Visual Designer,50000,COLORADO,USA,4,SHE/HER,MIXED,STRAIGHT,COLLEGE
Senior Communications Engagement Specialist,81000,COLORADO,USA,6,SHE/HER,ASIAN,BI/PAN,COLLEGE
Interactive Designer,45000,COLUMBIA,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,43000,"COLUMBIA, SC",USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Artist,43860,"COLUMBIA, SC",USA,9,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer / Illustrator,100000,"COLUMBIA, SC",USA,12,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,53000,COLUMBUS OHIO,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Assistant Graphic Designer,53500,"COLUMBUS, OH",USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Digital Designer,51000,"COLUMBUS, OHIO",USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Product Design Manager,115000,"COLUMBUS, OHIO",USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,47500,"CRANBURY, NJ",USA,3,NON-BINARY,WHITE,BI/PAN,COLLEGE
Junior UX Designer,66000,CT,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Product Designer,300000,"CUPERTINO, CA",USA,7,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,42000,DALLAS,USA,2,HE/HIM,BLACK,BI/PAN,COLLEGE
Graphic Designer,50000,DALLAS,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior lead experience designer,140000,DALLAS,USA,16,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,37500,"DALLAS, TEXAS",USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Marketing Manager,41000,"DALLAS, TEXAS",USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,55000,"DALLAS, TEXAS",USA,8,SHE/HER,WHITE,GAY/LES,COLLEGE
Art Director,66000,"DALLAS, TEXAS",USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Web Designer,66000,"DALLAS, TEXAS",USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Designer,38000,"DALLAS, TX",USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Creative Director,98500,"DALLAS, TX",USA,19.5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic designer,41000,DAVENPORT IOWA,USA,15,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Graphic designer,41000,DAVENPORT IOWA,USA,15,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
